ts;date;gfs_ugrd;gfs_vgrd;gfs_gust;ecmwf_ugrd;ecmwf_vgrd;ecmwf_gust;icon_ugrd;icon_vgrd;icon_gust
1551708000;"04.03.2019 14:00";-4.42784128;2.26350432;4.8398344;-2.0918499071999;3.6062409856;5.9246101055999;-0.48369208319998;1.2243711168;3.5259122752
1551711600;"04.03.2019 15:00";-4.08836752;2.13289792;4.6190688;-1.8099455999999;3.926572;7.7773612992;0.21093121280001;1.211372416;2.5888746496
1551715200;"04.03.2019 16:00";-3.49141376;1.79721088;4.1563344;-1.4437435008;3.6649044992;7.026933856;0.05055783680001;1.0319477376;2.0258052096
1551718800;"04.03.2019 17:00";-3.06955344;1.59376464;3.7825328;-1.0665427648;3.3952609664;6.2538323584;-0.1308658752;0.83799032320001;1.6915431552
1551722400;"04.03.2019 18:00";-2.71923296;1.35782496;3.4506656;-0.7004222656;3.1335937344;5.5034062464;0.62751336959999;0.24195313280001;1.388583968
1551726000;"04.03.2019 19:00";-2.5778656;1.51999104;3.3697656;-0.77685645440002;2.2029507008;4.3067363904;0.53883669119997;-0.091815462399994;1.2963274752
1551729600;"04.03.2019 20:00";-2.4097256;1.37224432;3.1512984;-0.85553794560004;1.2441942336;3.0738218112;0.46066376959996;0.024522163200006;1.4565756864
1551733200;"04.03.2019 21:00";-2.27252624;1.14451776;2.8203;-0.93198866560005;0.31365093120002;1.8772186240001;0.48232835199995;0.2566798592;1.4764783296
1551736800;"04.03.2019 22:00";-2.38766;0.7001112;2.7307344;-0.039041766400057;-0.08390255359998;2.234623808;0.66448532479996;-0.062693695999987;1.664623616
1551740400;"04.03.2019 23:00";-2.57344704;0.18651792;2.811536;0.88104510079994;-0.49345651199998;2.6029564736;0.63090564479997;0.025879500800017;1.5457333248
1551744000;"05.03.2019 00:00";-2.8002294528;-0.38165536;3.0979376;1.7740919999999;-0.89099373439997;2.9604435264;0.76887899519997;-0.19883417599999;1.4355644288
1551747600;"05.03.2019 01:00";-2.83096192;-1.36388096;3.4251376;1.7555344959999;-1.6488703488;4.0787198208;0.84448791679997;-0.24754748799999;1.5273432
1551751200;"05.03.2019 02:00";-2.8136816;-1.87492;3.7392032;1.7364154368;-2.429743584;5.2309881152;0.90151164159997;-0.46297449599999;1.7434837952
1551754800;"05.03.2019 03:00";-2.81090112;-2.41753264;4.0809688;1.7179563328;-3.1877036672;6.005498688;0.71284465279997;-1.0767294528;2.1001655808
1551758400;"05.03.2019 04:00";-2.65078672;-2.76131856;4.3414664672;1.517950816;-2.8309829120001;5.705310848;1.0643227584;-1.6270222656;3.1630831872
1551762000;"05.03.2019 05:00";-2.47581968;-3.04835184;4.5324328;1.3119357824;-2.4633626240001;5.3960361152;1.0275489664;-1.0304459904;4.1942253376
