ts,ugrd,vgrd,gust
1552143600,-1.36927024,-0.33042856,3.655179872
1552154400,0.099630672,-3.060836528,4.208721936
1552165200,0.808019808,-3.42307432,5.750923696
1552176000,1.047464288,-3.8650668,5.680113872
1552186800,-0.037853072,-4.706963824,6.932093696
1552197600,-1.284955696,-6.05235256,8.639842816
1552208400,-4.640448752,-6.315119872,11.163516208
1552219200,-4.626076064,-5.999840896,10.720430288
1552230000,-2.604878624,-9.395227616,13.761128864
1552240800,0.48795864,-8.755867184,12.805992064
1552251600,0.49464488,-7.020873008,9.944764192
1552262400,-1.026493872,-8.54581552,11.695058928
1552273200,-0.941458192,-7.854840496,12.001464368
1552284000,-2.00867888,-7.716475984,11.36638936
1552294800,-4.953239504,-7.56452944,13.05357312
1552305600,-5.042810176,-5.51928704,10.84790632
1552316400,-2.61822248,-6.733731328,10.387136064
1552327200,1.296795136,-5.602493136,8.415768256
1552338000,0.410208864,-4.107130768,6.20255288
1552348800,0.653558768,-4.381608672,6.685144624
1552359600,-0.078056496,-2.892688176,4.8960652
1552370400,-1.328650752,-3.478549136,4.778890576
1552381200,-2.120999184,-0.955830768,5.358031008
1552392000,-1.415544064,0.669245008,3.4243928
1552402800,-0.716449568,0.99823992,2.997114272
1552413600,1.389406128,0.422064016,2.993622464
1552424400,0.743109808,1.797548368,4.190867792
1552435200,1.129770624,1.695128256,4.276802608
1552446000,0.759194672,-0.693192336,3.861319856
1552456800,-0.282281728,0.649823808,2.222296256
1552467600,-0.95402864,1.565469248,3.983824784
1552478400,-1.813221696,4.11202984,7.467305824
1552489200,-1.688807312,3.693138448,7.63791968
1552500000,-0.089319808,0.12819024,3.822192624
1552510800,0.730592272,-5.588130064,8.749327936
1552521600,3.381007248,-5.593100688,10.325113456
1552532400,1.232720512,-1.890359504,5.224551072
1552543200,-2.37352168,-2.79940464,5.271989824
1552554000,-3.752430144,0.718735952,6.618333088
1552564800,-2.364301824,1.979462816,6.633224656
1552575600,-0.4547008,0.885824368,3.51154936
1552586400,-0.591096672,-0.212070464,1.669401168
1552597200,1.064493424,-0.54511792,1.731476768
1552608000,1.181098384,-1.492366016,2.81298456
1552618800,1.051534496,-2.489896864,4.0733468
1552629600,-0.088391136,-2.702971072,4.461192496
1552640400,-2.613175872,-0.165829056,5.164250736
1552651200,-1.585438064,1.073008384,4.099479792
1552662000,0.216124704,2.617576752,3.95623456
1552672800,0.145792576,1.018980736,2.7784892
1552683600,-0.365976496,0.43559368,2.092709424
1552694400,0.632976048,-1.67368648,2.822086128
1552705200,1.081072864,-2.295149392,3.842162928
1552716000,-0.362215984,-1.86875968,3.463800064
1552726800,-3.020439168,1.995096944,5.807450496
1552737600,-0.487644736,-0.961401312,5.065679056
1552748400,5.612928512,-4.77814264,10.796072944
1552759200,3.254183568,-5.978306,9.763146256
1552770000,1.123278832,-5.688651424,8.4809152
1552780800,-0.033513248,-6.668614992,9.364501696
1552791600,-0.693673472,-5.601255936,7.955492176
1552802400,-2.202777392,-5.816088816,8.787863168
1552813200,-6.06934008,-5.316799808,11.539399872
1552824000,-6.43671056,-2.288442576,10.693959248
1552834800,-1.9548348,-3.452617392,7.541535248
1552845600,1.412605312,-5.500557568,9.005298064
1552856400,1.802136704,-4.083008192,7.111445168
1552867200,1.112756816,-5.203365008,7.515671008
1552878000,2.09063312,-5.533383568,8.44473224
1552888800,1.030139584,-4.5210112,6.802320544
1552899600,-2.56545032,-5.77215032,9.180463952
1552910400,-4.078660944,-2.909323568,8.342430176
1552921200,-2.774494752,-3.117470496,6.076418992
1552932000,1.024155536,-5.771423248,8.23697872
1552942800,1.890787424,-3.940390384,7.167621824
1552953600,1.474600512,-3.556576336,5.857019072
1552964400,1.207385696,-3.486234368,5.916680688
1552975200,-0.080786704,-3.99247456,5.73705952
1552986000,-3.447316,-4.05958288,8.223515568
1552996800,-1.898143616,-0.496998992,4.949064624
